country_iso3,country_iso2,country,s_never_n,s_onceortwice_n,s_afewtimes_n,s_often_n,s_knowitwell_n,s_never_pct,s_onceortwice_pct,s_afewtimes_pct,s_often_pct,s_knowitwell_pct,s_never_pct_se,s_onceortwice_pct_se,s_afewtimes_pct_se,s_often_pct_se,s_knowitwell_pct_se,s_never_avg,s_onceortwice_avg,s_afewtimes_avg,s_often_avg,s_knowitwell_avg,s_never_avg_se,s_onceortwice_avg_se,s_afewtimes_avg_se,s_often_avg_se,s_knowitwell_avg_se,d_never_n,d_onceortwice_n,d_afewtimes_n,d_often_n,d_knowitwell_n,d_never_pct,d_onceortwice_pct,d_afewtimes_pct,d_often_pct,d_knowitwell_pct,d_never_pct_se,d_onceortwice_pct_se,d_afewtimes_pct_se,d_often_pct_se,d_knowitwell_pct_se,d_never_avg,d_onceortwice_avg,d_afewtimes_avg,d_often_avg,d_knowitwell_avg,d_never_avg_se,d_onceortwice_avg_se,d_afewtimes_avg_se,d_often_avg_se,d_knowitwell_avg_se,s_knowitwell_pct_2012,s_knowitwell_pct_se_2012,d_knowitwell_pct_2012,d_knowitwell_pct_se_2012,s_knowitwell_pct_2022_2012,d_knowitwell_pct_2022_2012,n,pct100,mathavg,mathavg_se,s_never_knowitwell_gap,s_never_knowitwell_gap_cov,s_never_knowitwell_gap_se,s_never_knowitwell_gap_pvalue,s_never_knowitwell_gap_dof,s_never_knowitwell_gap_ttest,d_never_knowitwell_gap,d_never_knowitwell_gap_cov,d_never_knowitwell_gap_se,d_never_knowitwell_gap_pvalue,d_never_knowitwell_gap_dof,d_never_knowitwell_gap_ttest
CZE,CZ,Czech Republic,1784,688,403,143,73,58.95434071044622,20.911291065190955,13.09174355380574,4.701116110994235,2.3415085595628637,1.0690075544438766,0.8241595289905739,0.7481310450538595,0.41886508582434656,0.2929210240382146,495.44728555736793,506.9998251264437,473.65102549847404,458.0188153580011,460.7438309669434,2.991623338269927,5.201808648376768,5.676878831117813,10.614412171561908,11.90291376743553,766,525,758,554,494,23.29654798785796,16.393834852812724,25.587171942574454,18.486693306141017,16.23575191061384,0.80964104975335,0.742183593346964,0.8172833714072659,1.0095173292007111,0.7368884651919969,515.5084254074351,498.0036725616358,478.1521905983444,474.63122227568766,495.411483895167,4.6425554900380215,4.380272044860313,3.9430291118707532,4.444131884200193,4.637621376251835,2.7825307242955564,0.35564008454757073,2.5249795923101432,0.2875295191961892,-0.4410221647326926,13.710772318303697,8460,100,486.9992078519273,2.093644696942109,34.70345459042454,1.4925053474622478,12.150891146667519,0.0055964399857808544,72.28224844823714,TRUE,20.096941512268074,1.4926399011390152,6.330527126967557,0.0020208906567986684,95.31970532609502,TRUE
IRL,IE,Ireland,1539,298,210,105,52,69.5352178694632,13.428276686186924,9.749314708703858,4.767766213828923,2.5194245218171014,1.1986118672192518,0.7528396757856206,0.6939568590414611,0.38847206182871374,0.31804822303335073,502.4573677749555,486.6106235991543,480.41253484553584,471.9953590513085,474.5885725252592,2.4410564596515325,4.649853718505984,5.387158613355248,8.594538953246872,12.077492711225526,1307,354,278,192,49,59.87204855494799,16.083279268698643,12.68083080589322,8.993758113774255,2.3700832566859003,1.1739831672557155,0.6810385886440483,0.8661253011730865,0.586682747098466,0.2815528215848748,499.7318681882899,488.98297756193523,487.39423506752627,483.27608659949664,486.2422876243298,2.883462438455395,5.597741638358339,5.4115404214050224,6.402028475146353,10.714711474177843,1.955557943089153,0.27308426361463645,2.578706323619795,0.31857374827689483,0.5638665787279484,-0.20862306693389465,5569,100,491.64827959188403,2.022266338379325,27.86879524969629,5.248765880937277,11.888105613050284,0.02160710602454108,78.110980442673693,TRUE,13.489580563960146,1.9517355955804412,10.918604600300377,0.21976944224225825,92.97037092537494,FALSE
DEU,DE,Germany,1290,317,219,91,53,65.32151140790606,16.150579232622952,11.078887177103239,4.631796011289669,2.817226171078069,1.2136487247461905,0.9676146037390312,0.7248077196934612,0.5337755774515337,0.3854117280049451,502.30384624847477,486.81651279677993,474.95433409339,443.8073236667492,423.0552029557141,3.3799934879612303,5.035845956388311,7.514132831970297,10.192460806903068,13.886509785884284,676,333,313,328,278,34.748074643914094,17.388683828334475,16.161510466435278,17.2430300545461,14.45870100677005,1.0173368965599303,0.7371445564334953,0.9239255025928211,0.8684496162262556,0.9023779932213057,510.9331401711721,500.0819897600935,484.79174580495567,460.26881810161433,474.9257298842062,4.681997800961046,6.17343162077422,5.274258042880527,6.035278507660172,6.589197578114785,2.8621443286381396,0.26830942886907816,10.693401872957036,0.589180451437348,-0.04491815756007078,3.7652991338130146,6116,100,474.82645390785336,3.0648044725408568,79.24864329276068,2.6046319574918346,14.108516792956538,6.074972120906352e-7,56.875120049231505,TRUE,36.00741028696592,5.3559337687016555,7.390991854564211,9.91698561714216e-6,54.49336258517866,TRUE
NLD,NL,Netherlands,1095,234,234,111,49,64.15693682398621,13.781801698458377,13.082106745493677,6.288220821686815,2.690933910374922,1.1677834221879264,0.9108082066870358,0.8090938597156755,0.6057227437976573,0.44176474009073813,516.6720268638752,530.9262632478125,491.4939228467313,453.73925454640585,448.4267293293049,3.89353653913753,7.702911027605453,7.1245092558955125,12.268942425275464,19.679998686304028,1032,267,255,145,72,58.43105568217635,15.317529680629855,13.828463509344749,8.373069265565054,4.049881862283992,1.392917823391457,0.8383425276027638,0.9676866228768474,0.7130243017738709,0.39121490416876664,522.367087459955,517.2484041146697,483.66208398502437,463.5421769340821,457.87282003325987,3.5189302660119712,5.974854707947813,8.176363136611393,9.715557823051718,15.650726374664874,1.7391699742064253,0.2439702225981942,5.999665943034131,0.5798595207376367,0.9517639361684966,-1.9497840807501392,5046,100,492.6756389784975,3.7659610888131074,68.24529753457028,20.506764237783752,19.01179756359087,5.475773705598819e-4,86.82069036609171,TRUE,64.4942674266951,10.28620523051691,15.386867641292426,6.489128065845229e-5,89.55949065646149,TRUE
FIN,FI,Finland,2148,531,479,268,129,62.66926612032615,15.232348567087575,12.55096710308004,6.581182132483122,2.966236077023112,0.9539296185233097,0.7421016643454048,0.6294275842849876,0.430267319287159,0.3266897706997949,504.4954037351438,491.7012795541614,472.1672803603327,450.63074957138537,461.5017721931188,2.427672618050463,5.3506535419797085,4.457509086717399,6.764065363278162,10.44755471558074,1882,675,593,335,148,53.05530186609181,18.82886230096581,16.106573989925067,8.519425678777479,3.4898361642398443,0.9442470749229606,0.6821939430884575,0.7083181432656699,0.47698031745794484,0.29189688793324026,506.15055327236655,494.7060116602145,474.56004442999404,459.5379712193463,490.41399660901936,2.7234283404446766,3.6249962972839174,4.866521661745738,6.0007941122868536,8.420202414187818,0.8581042916233002,0.12038789490437286,1.2923025973172868,0.18035160100918302,2.108131785399812,2.1975335669225577,10239,100,484.13922563776873,1.8571559520076943,42.99363154202496,4.959379868473242,10.253108511009666,6.078257870489878e-5,97.05819742216778,TRUE,15.736556663347187,1.743136935359216,8.650468007611678,0.073012141490989,72.57983709108275,FALSE
NZL,NZ,New Zealand,981,240,200,106,53,61.89711447412901,15.447260940276555,12.42924119207112,6.797351501691315,3.4290318918319915,1.2872296070429627,0.8376260712300844,0.8816746801653819,0.6306063356814642,0.4332067852950235,496.6484566444479,484.2363070165751,472.4551164313542,475.8859169951357,524.0580428569774,3.487158700936212,5.7761966119222725,7.922731480440356,9.35551086536952,17.5389426089781,876,267,290,164,78,52.97367878433511,15.519572853383504,17.218230646561786,9.518930304003627,4.7695874117159756,1.245501111897185,0.878328070417522,0.8307260319031704,0.7846806053716581,0.6513124541372854,496.5836883547651,485.86519608338426,488.32800007657454,473.13822441701063,526.7260592088053,4.367065370206214,6.867001971412374,6.186925952598731,7.7227654134937485,16.22824476790616,1.9700929564106116,0.2779088165030908,3.159186363621468,0.33642158182791215,1.45893893542138,1.6104010480945075,4682,100,479.07419345238105,1.9870247861737846,-27.40958621252952,-1.6814568460509292,17.97603118985513,0.13087346373459674,88.62407637581559,FALSE,-30.142370854040166,-6.302916518200027,17.17652529562158,0.08274957915631198,88.36687793724992,FALSE
ESP,ES,Spain,6718,2006,1852,711,367,55.0117676216249,18.509627956928217,16.820542354900482,6.173782310369599,3.484279756176805,0.6628207409623291,0.44778516775060145,0.48552049225409083,0.38431811440235103,0.2408101728919258,488.42746222274087,483.8349836517554,462.64139934852676,446.0371138950433,458.5582843589894,2.03060045095749,3.4516357865409963,2.6456622363741435,5.000681628743265,6.849654524630443,6866,1592,1627,917,559,58.17074410631374,14.881159043209296,14.400962160574391,7.632953745731955,4.914180944170614,0.6564824549852897,0.5477171908015513,0.4655327418456913,0.35325371077254786,0.25851436648700865,485.43508234023017,481.9032676735765,469.7320968241933,451.7811747448449,450.4138749809136,2.1420979270752794,4.074776815199486,3.9809014959133173,5.2979629511193105,6.390981604760127,3.6344558463069077,0.24381542874705994,4.805659886760926,0.3190193828917128,-0.15017609013010258,0.10852105740968732,30800,100,473.14020802459567,1.5043760437100735,29.869177863751474,3.843092994900033,6.5844452544173375,1.7259574121464283e-5,91.89514049459599,TRUE,35.02120735931658,1.0533288973052592,6.58229227601996,1.0265131886733059e-6,75.33751510440993,TRUE
ITA,IT,Italy,2685,543,448,200,111,67.30074405895938,12.319954279912583,11.963113380070519,5.3807440648084555,3.0354442162490543,0.9642566565830681,0.6849293825441395,0.7423065883558042,0.5874966477571489,0.3392183724398783,486.66008381931783,463.2990080273912,450.37440222396924,424.44514826826463,429.55002256729455,3.6751720621723774,6.07974510966608,5.419249129392264,9.18332249189831,10.832978968983502,2212,681,587,350,219,53.05694605881612,16.197226323660256,15.220543212714588,9.152826588494893,6.372457816314142,1.057724204383601,0.7473563741127385,0.692692531625315,0.6661965310977983,0.5396585909842617,480.1347734549289,474.9962689216337,472.300221743641,461.15434878635864,459.5341992631283,3.856617318141756,6.138238290469763,5.065932430614913,7.751295880137553,10.30164926291536,2.799208442514183,0.16776758092460523,5.036964848060368,0.2538331540815524,0.23623577373487104,1.3354929682537744,10552,100,471.2594754762798,3.093388230462303,57.110061252023286,9.558104042904422,10.570908898633192,6.027040946321449e-7,83.93144192793332,TRUE,20.600574191800604,8.539849125354003,10.19400688757897,0.045809986443238415,106.2612417122663,TRUE
CRI,CR,Costa Rica,1089,414,350,192,74,51.38236961034246,19.54500912857048,16.713725761282635,9.02849694560775,3.3303985541966683,1.1172595604548676,0.8755256933387621,0.9535956662105785,0.67975907711424,0.38312965379104963,391.58223175347973,384.59440053577885,383.33636981975906,380.1742623972806,372.551900590376,2.523753000075005,3.8176282156142127,4.3974029184521415,5.1513150778949495,7.496391645901965,949,376,404,250,130,45.07834044281154,17.80349660725012,19.359943807572098,11.76182132565108,5.996397816715172,1.120486136357247,0.8279556852378647,0.9510436511586612,0.8243351828589254,0.5350062098701893,390.9809444174317,388.646514629536,389.5702512557658,380.68754679858415,373.31003914137045,2.9373452610217834,3.5460882604993094,3.775849060941084,4.512171608090038,6.343740760446656,6.218731814543674,0.5318567675990051,6.735129777552571,0.5275109632044411,-2.888333260347006,-0.7387319608373994,6113,100,384.5760411243579,1.8877075759403437,19.03033116310371,-0.5148506282693718,7.974642197031482,0.019192201949378207,86.69452918301239,TRUE,17.670905276061262,0.19058991911477158,6.963466391099329,0.0132203087226479,75.53637109947256,TRUE
EST,EE,Estonia,1502,400,325,175,85,60.2914025080165,15.642102640096834,12.913833996705474,7.679645590451551,3.473015264729655,1.0573181305481465,0.8974736715994731,0.6645951813644654,0.5588446322049345,0.3565570805124658,521.1414307113348,509.7205561795762,487.72549863002024,469.62366590822785,498.49939398722154,3.000622766863942,5.241254060949064,6.234916158664258,7.170035875056097,11.553770753156229,1474,436,300,177,81,59.4190771041781,17.521683678035586,12.48451615811555,7.425683128543767,3.1490399311269983,1.1673642550164773,0.9809530243396594,0.7747944684773191,0.5622859802479567,0.37766918278954903,521.0718932827135,513.6309431971843,494.00448648172784,468.0967054825732,484.99346820512443,2.746816849324276,4.87338934601191,5.189388566934965,7.778183256150495,11.924931592971244,3.3420790264942615,0.27632450592201707,2.8576207961361764,0.3060945987552524,0.13093623823539335,0.29141913499082195,6392,100,509.94695322475644,1.9844748824116032,22.642036724113268,3.5822904445254373,11.633089646197162,0.05550745516304145,72.14877972263051,FALSE,36.07842507758909,3.1628300238435694,11.975948240247547,0.0033744931778714182,88.79686317841282,TRUE
